amfi_code,scheme_name,fund_house,category,cagr_1yr,cagr_3yr,cagr_5yr
100016,HDFC Top 100 Fund - Regular Plan - Growt,HDFC Mutual Fund,Equity,-2.22,1.29,
100025,HDFC Short Term Debt Fund - Regular - Gr,HDFC Mutual Fund,Debt,3.7,3.92,
100033,HDFC Mid-Cap Opportunities Fund - Regula,HDFC Mutual Fund,Equity,53.23,32.44,
101206,ABSL Frontline Equity Fund - Regular - G,Aditya Birla Sun Life MF,Equity,47.92,28.97,
101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,-23.99,-4.15,
101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Debt,7.24,6.32,
102885,UTI Nifty 50 Index Fund - Regular - Grow,UTI Mutual Fund,Equity,20.21,19.67,
102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,-16.8,-0.77,
102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,13.58,25.56,
118632,Nippon India Large Cap Fund - Regular - ,Nippon India MF,Equity,33.98,22.65,
118633,Nippon India Large Cap Fund - Direct - G,Nippon India MF,Equity,25.54,21.09,
118634,Nippon India Small Cap Fund - Regular - ,Nippon India MF,Equity,15.81,8.01,
118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,Equity,22.49,20.01,
118636,Nippon India Gilt Securities Fund - Regu,Nippon India MF,Debt,10.45,4.06,
119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Equity,1.61,0.53,
119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Equity,19.77,20.82,
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Equity,22.26,35.11,
119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Equity,-42.8,-11.71,
119120,SBI Magnum Gilt Fund - Regular Plan - Gr,SBI Mutual Fund,Debt,5.52,5.84,
119551,SBI Bluechip Fund - Regular Plan - Growt,SBI Mutual Fund,Equity,60.44,30.46,
119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,5.71,16.27,
119598,SBI Small Cap Fund - Regular Plan - Grow,SBI Mutual Fund,Equity,82.78,26.67,
119599,SBI Small Cap Fund - Direct Plan - Growt,SBI Mutual Fund,Equity,13.95,-1.34,
120503,ICICI Pru Bluechip Fund - Regular - Grow,ICICI Prudential MF,Equity,8.49,13.98,
120504,ICICI Pru Bluechip Fund - Direct - Growt,ICICI Prudential MF,Equity,13.06,32.49,
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Equity,29.6,31.78,
120506,ICICI Pru Value Discovery Fund - Regular,ICICI Prudential MF,Equity,41.82,18.42,
120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Debt,7.43,7.39,
120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Equity,16.84,17.27,
120842,Kotak Emerging Equity Fund - Regular - G,Kotak Mahindra MF,Equity,22.5,7.76,
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Equity,26.66,29.58,
120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Debt,7.12,6.7,
125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Equity,28.68,18.43,
125498,HDFC Mid-Cap Opportunities Fund - Direct,HDFC Mutual Fund,Equity,15.44,11.25,
148567,Mirae Asset Large Cap Fund - Regular - G,Mirae Asset MF,Equity,20.36,34.0,
148568,Mirae Asset Emerging Bluechip Fund - Reg,Mirae Asset MF,Equity,14.27,14.75,
148569,Mirae Asset Tax Saver Fund - Regular - G,Mirae Asset MF,Equity,39.75,29.18,
149322,DSP Top 100 Equity Fund - Regular - Grow,DSP Mutual Fund,Equity,18.11,18.04,
149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Equity,21.48,26.87,
149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Equity,65.14,27.0,
