amfi_code,scheme_name,sharpe
148567,Mirae Asset Large Cap Fund - Regular - G,1.0682
120843,Kotak Flexicap Fund - Regular - Growth,0.9656
148569,Mirae Asset Tax Saver Fund - Regular - G,0.9191
120505,ICICI Pru Midcap Fund - Regular - Growth,0.8833
119551,SBI Bluechip Fund - Regular Plan - Growt,0.861
149323,DSP Midcap Fund - Regular - Growth,0.8329
100033,HDFC Mid-Cap Opportunities Fund - Regula,0.8083
118632,Nippon India Large Cap Fund - Regular - ,0.7589
119094,Axis Midcap Fund - Regular - Growth,0.7305
101206,ABSL Frontline Equity Fund - Regular - G,0.7174
120504,ICICI Pru Bluechip Fund - Direct - Growt,0.7147
149324,DSP Small Cap Fund - Regular - Growth,0.7144
119598,SBI Small Cap Fund - Regular Plan - Grow,0.7117
119552,SBI Bluechip Fund - Direct Plan - Growth,0.6483
148568,Mirae Asset Emerging Bluechip Fund - Reg,0.6407
102885,UTI Nifty 50 Index Fund - Regular - Grow,0.5198
120503,ICICI Pru Bluechip Fund - Regular - Grow,0.5165
125497,HDFC Top 100 Fund - Direct Plan - Growth,0.5063
120506,ICICI Pru Value Discovery Fund - Regular,0.4046
118635,Nippon India ETF Nifty 50 BeES,0.3932
118633,Nippon India Large Cap Fund - Direct - G,0.3888
102887,UTI Flexi Cap Fund - Regular - Growth,0.3846
118634,Nippon India Small Cap Fund - Regular - ,0.2923
120841,Kotak Bluechip Fund - Regular - Growth,0.2551
149322,DSP Top 100 Equity Fund - Regular - Grow,0.2397
125498,HDFC Mid-Cap Opportunities Fund - Direct,0.1348
101207,ABSL Small Cap Fund - Regular - Growth,0.0526
119093,Axis Bluechip Fund - Direct - Growth,-0.0471
120842,Kotak Emerging Equity Fund - Regular - G,-0.0582
119092,Axis Bluechip Fund - Regular - Growth,-0.131
119599,SBI Small Cap Fund - Direct Plan - Growt,-0.1362
119095,Axis Small Cap Fund - Regular - Growth,-0.1517
102886,UTI Mid Cap Fund - Regular - Growth,-0.2949
100016,HDFC Top 100 Fund - Regular Plan - Growt,-0.321
119120,SBI Magnum Gilt Fund - Regular Plan - Gr,-0.7432
118636,Nippon India Gilt Securities Fund - Regu,-0.8506
100025,HDFC Short Term Debt Fund - Regular - Gr,-1.0399
120507,ICICI Pru Liquid Fund - Regular - Growth,-3.6508
120844,Kotak Liquid Fund - Regular - Growth,-4.0008
101208,ABSL Liquid Fund - Regular - Growth,-4.6502
