investor_id,avg_gap,max_gap,n,at_risk
INV000004,85.4,265.0,5,True
INV000008,70.4,165.0,5,True
INV000010,64.8,139.0,5,True
INV000011,40.166666666666664,125.0,6,True
INV000012,57.0,132.0,7,True
INV000013,55.333333333333336,104.0,6,True
INV000014,75.33333333333333,128.0,6,True
INV000023,58.57142857142857,115.0,7,True
INV000028,93.6,238.0,5,True
INV000029,60.666666666666664,96.0,6,True
INV000030,47.625,100.0,8,True
INV000033,45.57142857142857,87.0,7,True
INV000039,68.6,129.0,5,True
INV000045,70.6,109.0,5,True
INV000048,46.0,168.0,8,True
INV000052,36.2,120.0,5,True
INV000056,74.8,161.0,5,True
INV000057,49.714285714285715,149.0,7,True
INV000069,49.111111111111114,129.0,9,True
INV000072,83.0,247.0,5,True
INV000073,48.25,112.0,8,True
INV000074,72.57142857142857,191.0,7,True
INV000075,74.8,102.0,5,True
INV000076,91.8,203.0,5,True
INV000079,65.8,90.0,5,True
INV000081,81.33333333333333,167.0,6,True
INV000082,83.66666666666667,351.0,6,True
INV000086,44.666666666666664,167.0,9,True
INV000087,92.8,202.0,5,True
INV000091,44.0,105.0,7,True
INV000093,55.5,91.0,6,True
INV000094,44.8,95.0,5,True
INV000095,69.4,155.0,5,True
INV000097,54.5,183.0,6,True
INV000101,65.0,197.0,7,True
INV000102,65.28571428571429,109.0,7,True
INV000103,83.4,232.0,5,True
INV000105,57.0,87.0,7,True
INV000109,46.25,63.0,8,True
INV000113,46.0,144.0,7,True
INV000123,59.666666666666664,142.0,6,True
INV000128,82.0,181.0,5,True
INV000131,56.0,123.0,6,True
INV000132,71.0,139.0,5,True
INV000133,88.2,265.0,5,True
INV000138,76.2,220.0,5,True
INV000145,89.4,282.0,5,True
INV000146,66.8,171.0,5,True
INV000148,52.0,168.0,8,True
INV000155,37.333333333333336,99.0,6,True
INV000161,73.0,213.0,6,True
INV000163,61.0,80.0,7,True
INV000164,61.8,208.0,5,True
INV000169,67.83333333333333,145.0,6,True
INV000173,57.666666666666664,165.0,6,True
INV000175,83.66666666666667,170.0,6,True
INV000177,65.42857142857143,278.0,7,True
INV000180,61.8,229.0,5,True
INV000183,56.125,216.0,8,True
INV000191,56.5,161.0,6,True
INV000194,58.0,109.0,6,True
INV000195,77.4,114.0,5,True
